date,open,high,low,close,volume
2025-01-22,77.336,78.713,77.158,77.191,12004970.0
2025-01-23,75.327,76.187,74.129,76.095,8222090.0
2025-01-24,76.505,76.579,74.315,74.982,7453930.0
2025-01-27,71.66,72.495,68.5195,70.271,23578380.0
2025-01-28,69.733,70.889,68.922,70.292,13872770.0
2025-01-29,72.108,72.188,70.778,71.297,7291920.0
2025-01-30,73.128,74.611,72.2,74.243,17110410.0
2025-01-31,75.893,77.0245,73.5,73.824,16322930.0
2025-02-03,72.739,75.3,72.637,74.021,12168050.0
2025-02-04,73.283,75.6,73.283,74.932,9999140.0
2025-02-05,74.263,76.1915,74.094,75.915,6774590.0
2025-02-06,75.768,76.424,75.32179,76.182,5794290.0
2025-02-07,76.18,76.72683,74.422,74.77,6646130.0
2025-02-10,75.968,76.125,74.368,75.146,15644820.0
2025-02-11,75.455,76.196,74.916,75.862,5919160.0
2025-02-12,74.253,75.467,73.854,75.055,4766270.0
2025-02-13,75.103,76.5,75.008,76.428,7117360.0
2025-02-14,76.017,76.952,73.902,75.074,9985680.0
2025-02-18,75.804,76.0205,73.79389,75.825,13539850.0
2025-02-19,76.113,77.7,75.309,77.475,9366760.0
2025-02-20,78.0,79.4,77.101,77.763,8836620.0
2025-02-21,77.974,78.241,75.106,75.43,8724870.0
2025-02-24,76.199,76.303,73.6,73.757,11108710.0
2025-02-25,73.629,73.629,72.1465,72.497,10686750.0
2025-02-26,73.333,75.111,72.998,73.852,12473550.0
2025-02-27,74.305,75.0,69.864,69.916,13253090.0
2025-02-28,70.584,71.35,69.193,70.884,12426580.0
2025-03-03,71.453,72.8105,68.636,69.115,13047610.0
2025-03-04,69.347,71.601,67.856,69.9,11826470.0
2025-03-05,70.111,71.724,68.9625,71.581,9158150.0
2025-03-06,69.727,71.166,68.398,69.213,11357330.0
2025-03-07,68.82,71.4115,68.022,71.129,10883320.0
2025-03-10,69.382,69.722,67.058,67.836,13891830.0
2025-03-11,67.739,68.0315,65.37392,66.422,10587400.0
2025-03-12,67.604,68.675,67.1815,68.039,8841430.0
2025-03-13,67.662,69.4,66.866,68.15,9310380.0
2025-03-14,68.997,71.374,68.997,71.3,11429420.0
2025-03-17,70.574,72.41999,70.553,71.829,9761920.0
2025-03-18,71.19,71.28,69.806,71.0,9507740.0
2025-03-19,71.0,73.0065,70.4947,71.961,7534100.0
2025-03-20,70.882,71.966,70.7675,71.646,6294630.0
2025-03-21,70.231,70.938,69.236,70.649,24549800.0
2025-03-24,72.271,73.514,71.64,72.773,7301960.0
2025-03-25,72.462,72.7165,71.873,72.185,4988460.0
2025-03-26,72.149,72.41719,69.881,70.554,7348230.0
2025-03-27,70.035,70.713,69.2,70.0,7351270.0
2025-03-28,68.537,69.4165,66.718,67.36,9895220.0
2025-03-31,67.299,68.114,65.542,67.98,11654230.0
2025-04-01,67.4,68.28,66.218,68.246,6696780.0
2025-04-02,66.729,69.5615,66.729,68.619,7910880.0
2025-04-03,65.221,65.692,62.027,62.082,15252840.0
2025-04-04,59.254,60.0,55.976,57.653,20727810.0
2025-04-07,56.665,63.277,55.133,60.462,29964570.0
2025-04-08,62.6,64.426,58.681,59.951,27197870.0
2025-04-09,60.487,72.184,59.735,70.331,34479170.0
2025-04-10,66.49,68.0685,62.849,65.676,26761060.0
2025-04-11,64.6815,67.67309,63.508,67.022,13617950.0
2025-04-14,68.15,68.43,65.945,66.997,9873980.0
2025-04-15,66.942,68.2105,66.5,67.621,7903530.0
2025-04-16,63.825,65.905,61.931,64.219,20208450.0
2025-04-17,64.903,64.919,63.162,63.443,12242720.0
2025-04-21,62.343,62.721,60.77,62.08,13460510.0
2025-04-22,62.669,63.985,62.585,63.636,13723800.0
2025-04-23,66.424,67.27,65.28801,65.711,9452870.0
2025-04-24,67.411,69.057,66.4195,68.942,13040030.0
2025-04-25,68.0,70.0305,67.8915,69.461,6318250.0
2025-04-28,68.77,69.91368,67.9045,69.372,7360490.0
2025-04-29,68.363,69.535,68.174,68.795,7265350.0
2025-04-30,67.7,70.499,67.42,70.269,11722960.0
2025-05-01,68.92,69.3035,67.476,67.631,14635390.0
2025-05-02,69.425,70.784,69.291,69.816,8518590.0
2025-05-05,69.102,70.161,68.712,69.329,8120060.0
2025-05-06,68.086,69.0,67.761,67.942,9054220.0
