date,open,high,low,close,volume
2025-01-17,24.99,26.8,24.2307,26.05,12852919.0
2025-01-21,27.62,31.48,26.9,31.25,22472439.0
2025-01-22,32.43,34.95,32.03,34.17,23525014.0
2025-01-23,32.14,40.2095,32.01,38.78,34230719.0
2025-01-24,39.55,43.7,38.83,41.82,36783240.0
2025-01-27,32.68,34.96,29.06,31.11,43302600.0
2025-01-28,33.05,34.16,30.0,34.12,28477381.0
2025-01-29,33.61,38.09,33.27,35.3,32089432.0
2025-01-30,36.2,42.25,35.89,41.91,34330205.0
2025-01-31,42.4,45.23,40.37,41.61,26950796.0
2025-02-03,38.69,47.4,38.2,45.93,32623820.0
2025-02-04,46.71,48.0154,43.76,46.89,20934637.0
2025-02-05,46.75,52.45,46.02,50.5,26730427.0
2025-02-06,51.23,52.99,46.5301,47.76,19884043.0
2025-02-07,49.395,59.14,48.84,55.49,37705295.0
2025-02-10,55.05,56.8,53.31,53.73,17091358.0
2025-02-11,53.04,54.1,49.21,50.08,14446809.0
2025-02-12,47.78,55.3299,47.49,54.38,18768306.0
2025-02-13,55.41,55.55,50.8,55.03,12778871.0
2025-02-14,55.38,57.5,51.7,52.62,14232191.0
2025-02-18,52.81,54.8,49.18,50.19,12388846.0
2025-02-19,48.46,49.5,44.28,45.12,14986819.0
2025-02-20,44.605,44.61,40.3,42.66,12387721.0
2025-02-21,43.56,43.69,37.83,38.79,13961812.0
2025-02-24,37.17,37.99,33.64,34.08,14554601.0
2025-02-25,33.525,34.29,29.82,32.07,16463060.0
2025-02-26,34.5,36.48,33.57,35.19,18781028.0
2025-02-27,38.45,38.6773,32.31,32.39,17631466.0
2025-02-28,31.3352,34.66,30.44,33.39,13403049.0
2025-03-03,34.75,35.07,29.25,29.38,11978033.0
2025-03-04,28.21,32.2573,27.5,30.92,14577140.0
2025-03-05,31.0,31.1328,29.11,30.29,11297456.0
2025-03-06,29.105,29.36,25.6624,25.97,13001624.0
2025-03-07,25.71,26.8,24.46,26.27,12029692.0
2025-03-10,24.88,25.31,23.2601,23.69,11690278.0
2025-03-11,23.75,26.46,23.54,25.47,13987186.0
2025-03-12,27.47,28.01,25.16,26.19,15389414.0
2025-03-13,26.16,26.34,23.87,23.95,8750554.0
2025-03-14,25.01,27.83,24.889,27.72,13618758.0
2025-03-17,28.38,29.74,27.61,28.0,15447641.0
2025-03-18,27.0,27.145,25.75,26.02,8849739.0
2025-03-19,26.94,28.36,25.83,28.05,9283187.0
2025-03-20,27.36,29.9,27.23,27.77,13191673.0
2025-03-21,26.94,27.65,26.15,27.16,8093336.0
2025-03-24,28.95,31.46,28.58,30.91,21618972.0
2025-03-25,28.88,30.58,27.66,28.93,19207511.0
2025-03-26,28.66,29.8,25.84,26.37,16008680.0
2025-03-27,25.41,26.13,23.63,23.82,13689363.0
2025-03-28,23.68,24.24,22.3,22.39,9669658.0
2025-03-31,21.3,22.64,21.1,21.63,10081953.0
2025-04-01,22.88,24.08,21.73,22.53,12724145.0
2025-04-02,21.85,23.7253,21.8,22.7,10552678.0
2025-04-03,20.83,22.8,20.8003,21.89,10643954.0
2025-04-04,20.53,20.85,17.8,19.8,17569916.0
2025-04-07,18.66,23.41,17.42,21.93,20792765.0
2025-04-08,23.88,24.02,19.91,20.23,15997504.0
2025-04-09,20.83,24.65,19.965,24.08,18198067.0
2025-04-10,23.37,23.6653,21.61,22.72,10859868.0
2025-04-11,22.83,22.99,21.5425,22.5,7796537.0
2025-04-14,23.925,24.37,22.31,22.55,8734024.0
2025-04-15,22.6,23.74,22.36,23.0,6890477.0
2025-04-16,21.99,22.53,21.3,21.56,6220586.0
2025-04-17,21.96,22.1894,21.03,21.98,4594402.0
2025-04-21,21.5,21.6499,19.89,20.39,7025769.0
2025-04-22,20.72,21.9798,20.62,21.53,9677814.0
2025-04-23,22.18,24.24,22.11,23.37,16020524.0
2025-04-24,23.7,25.27,23.69,24.32,10634861.0
2025-04-25,23.69,24.31,23.18,23.74,6558914.0
2025-04-28,24.06,25.25,23.02,24.49,6979534.0
2025-04-29,24.555,24.84,23.55,24.44,5164234.0
2025-04-30,23.53,23.81,22.52,23.74,6660117.0
2025-05-01,24.75,26.93,24.44,26.31,13354025.0
